,IFI27,RPL5,ZBP1,IFITM1,EPSTI1,EBI2,FCER1A,GADD45A,TNFSF13B,IFIT2,OSBPL10,SCRN1,TNFAIP6
GSM1199426,7.755604556,11.05082127,7.979717801,11.67483397,8.755206808,8.346717502,8.710953329,6.450610597000001,10.16489249,10.37407583,4.715180233,6.768672083,5.5380744035
GSM1199427,12.9171615,10.81206262,9.343179406,12.2508925,10.69606474,7.842392027000001,8.599211346,7.369973373500001,10.742810235,11.78175622,4.654290606,6.32096113,6.6788910370000005
GSM1199428,11.40014804,11.04001988,8.048969358,11.78175622,8.828782302,7.4587149165,8.518924942,6.0862889505,10.026462615,10.7646397,4.93321916,6.682096725,5.86814418
GSM1199429,12.56432071,10.80710332,9.001547537,12.13027456,10.92614372,7.5923757465,7.463066074,5.595068299999999,10.057376913999999,11.08885019,5.311291771,6.58832043,5.253787368
GSM1199430,7.467177268,10.86853654,7.130266495,11.09144796,8.567286704,7.861802602499999,10.19799405,6.449322474000001,9.735064632,9.13448524,4.528093994,6.866701483,5.0261742
GSM1199431,6.54972789,10.88860097,8.1083464,11.10584293,8.029913528,7.952673634,8.985655682,6.366117505,9.432619144499998,10.41681704,6.117018557,6.667646734,5.941142389
GSM1199432,13.00104659,10.86354985,10.48384127,12.94476915,11.31608513,8.235297915,7.989237923,5.6028827555,10.827730045,12.68231923,6.208552535,5.785669638,6.415936246999999
GSM1199433,6.779904289,11.17306446,7.292664322,11.17942029,7.370741424,8.238298716500001,9.767057342,6.748604603,10.110819856500001,9.477367723,4.818192754,6.120997691,6.037495593499999
GSM1199434,12.11126464,11.51753489,8.841793921,12.13518506,10.62273272,8.228056024,8.633811377,6.5070434355,10.664894185,11.56757393,4.776125338,6.584206444,6.6685078035
GSM1199435,11.13603738,10.67410567,8.414737558,11.80533559,10.21663858,7.048371019,7.878268819,6.8723422995,10.85620733,11.39045103,5.030615281,5.872939867,6.7489980245
GSM1199436,6.616079224,11.22757312,8.072349531,11.39367462,7.375217947,8.136092138,9.560833216,6.455019681,10.228290690000001,9.715864867,4.160182053,6.684364026,6.2518718555
GSM1199437,5.09298641,11.07233449,7.828768939,11.04001988,7.49415823,8.240473823,8.752854648,5.7195416635,9.3229040925,10.1344146,5.936082481,6.68503345,5.9569616715
GSM1199438,13.17420784,10.58129499,8.886395755,12.7773694,11.12538922,7.765147171500001,7.501715521,6.8615131824999995,10.96719981,11.81770353,5.040566939,5.844754841,5.741496432
GSM1199439,4.921922039,10.79728035,8.074018415,11.29955682,8.460270931,7.1439448715000005,8.723156271,6.1586942879999995,9.684583746000001,10.65080153,5.50869515,7.26486261,6.22121555
GSM1199440,5.640051517,11.32839099,8.039641956,11.65648975,8.716383726,9.170490943,9.099977597,5.667374414,10.0967899715,10.27185862,6.270478998,7.053456919,5.8735162565
GSM1199441,10.07497593,11.47253185,8.921840761,11.93345007,10.64196281,8.1777528285,8.905180658,5.995838925999999,10.469035605,10.9876364,5.133004441,6.78088666,6.482288721
GSM1199442,12.18826948,10.05233233,9.384057102,12.54268883,10.55055096,7.387873020500001,8.246919971,7.3917513075,10.401664195,11.96875144,4.613128614,5.683719923,7.017030119499999
GSM1199443,7.700163068,10.90135094,7.087564868,10.95983973,8.38455306,7.658678136999999,9.171282807,6.905362898,10.064383275,8.72852394,4.45882438,6.908396521,5.39556894
GSM1199444,6.216227958,10.64623668,7.908117812,12.08841202,8.358228027,7.1061119185,8.609987844,7.75331325,10.18078357,10.78774128,4.335352425,5.254158213,6.660508325
GSM1199445,5.180477785,11.23738129,8.24099051,11.29955682,8.49459972,8.005796225,9.098207439,6.025286611,10.217058399999999,9.784692323,4.957932391,6.279935506,6.165092566
